Cm,Ch,Bm,Bh,T,sR,sG,sB,L,A,B
0.002,0.16,0.01,0.75,0.135,189,116,130,57.24339539383047,30.29719782695589,4.614589524342239
0.002,0.16,0.01,0.8,0.115,188,113,127,56.205188907286114,31.622500712008893,4.934811720757515
0.002,0.16,0.01,0.8,0.12,186,113,131,56.095080498774706,31.196619916387057,2.324371184539964
0.002,0.16,0.01,0.8,0.125,192,115,127,57.31400560939548,31.530576508758845,6.748600468743304
0.002,0.16,0.01,0.8,0.13,193,117,133,58.02602414748449,31.446350650753963,4.334268244484796
0.002,0.16,0.01,0.8,0.135,191,122,135,58.83942708076661,28.72899616692254,4.087927905571198
0.002,0.16,0.01,0.85,0.115,190,115,128,56.95947552322055,31.309863681863725,5.67564663183191
0.002,0.16,0.01,0.85,0.12,190,114,126,56.804410422920455,31.036841064404687,6.350524162372029
0.002,0.16,0.01,0.85,0.125,193,114,127,57.198975255436594,32.69753125862723,6.37674984664629
0.002,0.16,0.01,0.85,0.13,192,109,132,56.18219192996831,35.54201642148192,2.251748752696514
0.002,0.16,0.01,0.85,0.135,195,115,131,57.65636237731054,33.56463896779027,4.848334654187392
0.002,0.32,0.01,0.6,0.115,154,104,129,50.08170279999463,24.24005321881506,-5.769902556510642
0.002,0.32,0.01,0.6,0.12,151,107,133,50.51866716390886,21.965572022850598,-7.290152520428839
0.002,0.32,0.01,0.6,0.125,156,107,130,51.05855526223411,22.992984445399102,-4.881366631816375
0.002,0.32,0.01,0.6,0.13,161,106,129,51.492704345660584,25.328297797949983,-3.535036875333031
0.002,0.32,0.01,0.6,0.135,162,103,133,51.04283434463389,27.912567599439164,-6.682234032021728
0.002,0.32,0.01,0.65,0.115,163,97,125,49.428259570796214,30.47499906527151,-4.2847790813269615
0.002,0.32,0.01,0.65,0.12,164,107,131,52.07414776118293,25.95075536424085,-3.6073569848774856
0.002,0.32,0.01,0.65,0.125,164,109,130,52.428056532116145,25.247022744050827,-2.9149952058583617
0.002,0.32,0.01,0.65,0.13,165,107,130,52.15116750244378,26.515835493224337,-3.1846643642909234
